t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
3.899961,1.86272845,1.862934579,1.86301008,1.863199963,0.28892608,0.283222388,0.284035984,0.28892608,0.285757984,0.285757984
3.933294,1.862596491,1.862691565,1.862823392,1.862849091,0.288685863,0.287436841,0.284008287,0.288685863,0.285520963,0.285520963
3.966627,1.862189693,1.862345488,1.862541097,1.862593028,0.288443249,0.282691088,0.283837578,0.288443249,0.285259706,0.285259706
3.99996,1.862071315,1.862200212,1.86239955,1.862399417,0.288190249,0.282485225,0.283472193,0.288190249,0.285025881,0.285025881
4.033293,1.86169075,1.861829767,1.861990888,1.862047879,0.287950032,0.282236486,0.283208273,0.287950032,0.284757168,0.284757168
4.066626,1.861582758,1.861750005,1.861900473,1.861931499,0.287857886,0.28212703,0.28304875,0.287857886,0.284690855,0.284690855
4.099959,1.861341343,1.861491146,1.86160899,1.861741083,0.287841907,0.282093208,0.283071387,0.287841907,0.284662626,0.284662626
4.133292,1.861005784,1.861136546,1.861277161,1.861261714,0.287402752,0.281680684,0.28272997,0.287402752,0.28430736,0.28430736
4.166625,1.861004719,1.86113548,1.861224963,1.861269437,0.287481582,0.2817699,0.282771249,0.287481582,0.284341449,0.284341449
4.199958,1.860720693,1.860858112,1.861055186,1.860992469,0.287305281,0.281526487,0.282690022,0.287305281,0.284160886,0.284160886
4.233291,1.860558373,1.86065478,1.860809776,1.860788337,0.28702991,0.281284672,0.282464985,0.28702991,0.283901228,0.283901228
4.266624,1.860245718,1.860487134,1.860565564,1.860587269,0.286914595,0.281192527,0.282295342,0.286914595,0.283808816,0.283808816
4.299957,1.86003959,1.860194319,1.860305906,1.860331738,0.28664455,0.280860431,0.282209854,0.28664455,0.283515336,0.283515336
4.33329,1.859990854,1.86008766,1.860145051,1.860205105,0.286359858,0.280618882,0.281744866,0.286359858,0.28319842,0.28319842
4.366623,1.859792981,1.859891118,1.85999911,1.860002305,0.286263452,0.280499839,0.281862312,0.286263452,0.283173919,0.283173919
4.399956,1.859732394,1.859826537,1.859967684,1.860035861,0.286232826,0.280430064,0.281675358,0.286232826,0.283118259,0.283118259
